id,temperaturePlasma,densityPlasma,confinement_time_Plasma
79,146.5,0.87,2.7562217679149503
80,81.8,0.75,1.3926542155097086
81,104.3,0.39,0.8630139845007654
82,137.4,0.77,2.2892566794270692
83,135.5,0.7,1.932453278530787
84,147.8,1.19,3.5649977790923564
85,113.0,1.09,2.557345518103149
86,93.5,0.43,0.973999791074829
87,146.0,0.44,0.8420097903893508
88,126.9,0.97,2.542011166313329
89,142.5,0.5,1.6749026284379644
90,105.0,0.55,1.268068780066029
91,131.0,0.88,2.5928026248648446
92,108.1,0.68,1.409055141516354
93,102.0,0.22,0.5894476201372626
94,136.4,1.08,3.218242904488741
95,87.6,0.3,0.19863166662684079
96,114.9,0.37,1.1694310805931847
97,118.8,1.03,2.610618667003431
98,114.2,0.71,1.465489888779504
99,114.4,1.06,2.582812458853424
100,145.3,0.59,1.962596720424853
101,112.0,1.0,2.4338761444169505
102,108.8,0.39,1.1745512599312604
103,82.5,0.95,1.6473214130649039
104,132.9,0.71,1.9662231798052638
105,93.8,1.06,1.9277835243629309
106,129.7,0.39,1.6127782731344906
107,120.9,0.73,2.158284467990617
108,93.0,0.22,0.21325225128381814
109,133.2,0.47,1.3572923877074974
110,128.5,0.32,0.5305418612699302
111,94.6,0.95,2.022706316448054
112,94.2,0.69,1.5370936928911365
113,110.5,0.67,1.7942866156307635
114,88.1,0.4,1.114683839043717
115,84.9,0.33,0.452491413833801
116,142.3,1.18,3.0247563202338865
117,101.7,0.67,1.5992883933179922
118,90.3,0.21,0.39799915459078805
119,99.5,0.91,1.7983630066835734
120,101.0,0.42,0.8393315059819876
121,122.8,0.23,1.0482969602904322
122,132.1,0.38,1.1245414492479515
123,99.6,1.02,2.211454240738202
124,128.0,0.51,1.2278356632418248
125,89.7,0.36,0.9262001128831421
126,149.9,1.11,3.181673871950901
127,132.3,0.68,2.1406873439381493
128,85.7,1.02,1.8313593077243042
129,137.3,0.62,1.9004011483270975
130,120.9,0.41,1.3832509100299857
131,115.6,1.07,2.9454964229201033
132,141.1,0.44,1.4482828170601196
133,130.0,0.34,0.9910985678446314
134,133.5,0.78,2.2799985531846945
135,83.0,0.96,1.549893989558428
136,141.7,0.33,1.1252370232172677
137,117.1,0.78,1.9011385283528424
138,99.9,1.11,2.517568761759793
139,84.0,0.38,0.37033260245253624
140,124.7,0.25,0.5816402785699397
141,108.4,0.25,0.6420120367670494
142,109.9,1.19,2.8876114965213353
143,101.8,1.08,2.33488667750976
144,141.8,0.77,2.43593355640225
145,138.2,0.72,1.999708610305782
146,143.2,0.4,1.5086639424362214
147,84.7,0.76,1.840856596567097
148,123.9,0.92,2.6667355504958277
149,146.1,0.32,0.9868901335887682
150,113.5,0.28,0.7877408899082422
